nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
A Light in the Attic,Clarins (Simulé),51.77€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,0,En stock,1
Tipping the Velvet,Clarins (Simulé),53.74€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,0,En stock,1
Soumission,Clarins (Simulé),50.10€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/soumission_998/index.html,One,0,En stock,1
Sharp Objects,Clarins (Simulé),47.82€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,0,En stock,1
Sapiens: A Brief History of Humankind,Clarins (Simulé),54.23€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,0,En stock,1
The Requiem Red,Clarins (Simulé),22.65€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,0,En stock,1
The Dirty Little Secrets of Getting Your Dream Job,Clarins (Simulé),33.34€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,0,En stock,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Clarins (Simulé),17.93€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,0,En stock,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Clarins (Simulé),22.60€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,0,En stock,1
The Black Maria,Clarins (Simulé),52.15€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,0,En stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Clarins (Simulé),13.99€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,0,En stock,1
Shakespeare's Sonnets,Clarins (Simulé),20.66€,Soin & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four,0,En stock,1
